source_url,normalized_url,clicks,impressions,ctr,position
https://encuentratucoach.es/coaches/nuria/,https://encuentratucoach.es/coaches/nuria,6,126,0.047599999999999996,5.94
https://encuentratucoach.es/coaching-de-liderazgo-habilidades-clave-y-ejercicios-practicos-para-liderar-mejo/,https://encuentratucoach.es/coaching-de-liderazgo-habilidades-clave-y-ejercicios-practicos-para-liderar-mejo,4,67,0.059699999999999996,40.58
https://encuentratucoach.es/coaching-personal/,https://encuentratucoach.es/coaching-personal,3,76,0.0395,6.28
https://encuentratucoach.es/el-poder-del-coaching-en-espana/,https://encuentratucoach.es/el-poder-del-coaching-en-espana,3,40,0.075,8.35
https://encuentratucoach.es/test1/,https://encuentratucoach.es/test1,3,20,0.15,5.4
https://encuentratucoach.es/que-es-el-coaching-y-para-que-sirve-guia-clara-con-ejemplos-reales/,https://encuentratucoach.es/que-es-el-coaching-y-para-que-sirve-guia-clara-con-ejemplos-reales,2,87,0.023,31.89
https://encuentratucoach.es/el-camino-hacia-el-exito-personal-con-coaching-en-espana/,https://encuentratucoach.es/el-camino-hacia-el-exito-personal-con-coaching-en-espana,2,52,0.0385,13.08
https://encuentratucoach.es/portal-de-coaches/,https://encuentratucoach.es/portal-de-coaches,1,353,0.0028000000000000004,10.87
https://encuentratucoach.es/membresia-para-coaches/,https://encuentratucoach.es/membresia-para-coaches,1,134,0.0075,6.22
https://encuentratucoach.es/coaching-en-espana-potencia-crecimiento/,https://encuentratucoach.es/coaching-en-espana-potencia-crecimiento,1,77,0.013000000000000001,10.82
https://encuentratucoach.es/iniciar_sesion/,https://encuentratucoach.es/iniciar_sesion,1,76,0.0132,3.33
https://encuentratucoach.es/coaches/page/3/?filter=true&s=Bilbao&et_blog,https://encuentratucoach.es/coaches/page/3,1,59,0.0169,8.93
https://encuentratucoach.es/coaches_category/mujeres-emprendedoras/,https://encuentratucoach.es/coaches_category/mujeres-emprendedoras,1,49,0.0204,8.67
https://encuentratucoach.es/especialidades/fitness/barcelona/,https://encuentratucoach.es/especialidades/fitness/barcelona,1,13,0.07690000000000001,32.62
https://encuentratucoach.es/gestion-del-estres-con-coaching-tecnicas-limites-y-habitos-que-funcionan/,https://encuentratucoach.es/gestion-del-estres-con-coaching-tecnicas-limites-y-habitos-que-funcionan,1,9,0.11109999999999999,29.33
https://encuentratucoach.es/especialidades/auto-disciplina/,https://encuentratucoach.es/especialidades/auto-disciplina,1,5,0.2,9.0
https://encuentratucoach.es/mi-cuentaa/navigation/,https://encuentratucoach.es/mi-cuentaa/navigation,1,4,0.25,18.5
https://encuentratucoach.es/coaches/tania-perez/page/3/?et_blog,https://encuentratucoach.es/coaches/tania-perez/page/3,0,108,0.0,9.44
https://encuentratucoach.es/coaches/inmaculada-martinez-sanchis/,https://encuentratucoach.es/coaches/inmaculada-martinez-sanchis,0,107,0.0,14.09
https://encuentratucoach.es/aviso-legal-y-terminos-y-condiciones/,https://encuentratucoach.es/aviso-legal-y-terminos-y-condiciones,0,79,0.0,12.66
https://encuentratucoach.es/politica-de-privacidad/,https://encuentratucoach.es/politica-de-privacidad,0,79,0.0,6.1
https://encuentratucoach.es/coaches_category/espiritual/,https://encuentratucoach.es/coaches_category/espiritual,0,66,0.0,2.83
https://encuentratucoach.es/registrarse/,https://encuentratucoach.es/registrarse,0,65,0.0,3.82
https://encuentratucoach.es/planes-miembros/,https://encuentratucoach.es/planes-miembros,0,64,0.0,5.33
https://encuentratucoach.es/politica-de-cookies-ue/,https://encuentratucoach.es/politica-de-cookies-ue,0,64,0.0,10.78
https://encuentratucoach.es/marca-personal-como-construirla-con-coaching-sin-postureo/,https://encuentratucoach.es/marca-personal-como-construirla-con-coaching-sin-postureo,0,56,0.0,34.41
https://encuentratucoach.es/cuanto-dura-un-proceso-de-coaching-sesiones-frecuencia-y-senales-de-progreso/,https://encuentratucoach.es/cuanto-dura-un-proceso-de-coaching-sesiones-frecuencia-y-senales-de-progreso,0,50,0.0,8.32
https://encuentratucoach.es/category/blog/page/3/,https://encuentratucoach.es/category/blog/page/3,0,31,0.0,6.13
https://encuentratucoach.es/descubre-como-el-coaching-en-espana-puede-transformar-tu-vida/,https://encuentratucoach.es/descubre-como-el-coaching-en-espana-puede-transformar-tu-vida,0,25,0.0,9.88
https://encuentratucoach.es/coaching-que-es/,https://encuentratucoach.es/coaching-que-es,0,20,0.0,7.1
https://encuentratucoach.es/gestion-del-tiempo-metodo-simple-y-como-un-coach-lo-convierte-en-habitos/,https://encuentratucoach.es/gestion-del-tiempo-metodo-simple-y-como-un-coach-lo-convierte-en-habitos,0,17,0.0,10.71
https://encuentratucoach.es/coaches/ivanfdez/,https://encuentratucoach.es/coaches/ivanfdez,0,11,0.0,5.91
https://encuentratucoach.es/especialidades/carrera/malaga/,https://encuentratucoach.es/especialidades/carrera/malaga,0,10,0.0,46.4
https://encuentratucoach.es/liderar-equipos-remotos-practicas-y-rutinas-de-coaching-para-managers/,https://encuentratucoach.es/liderar-equipos-remotos-practicas-y-rutinas-de-coaching-para-managers,0,10,0.0,5.2
https://encuentratucoach.es/bono-de-sesiones-de-coaching-cuando-compensa-y-como-elegir-el-plan-adecuado/,https://encuentratucoach.es/bono-de-sesiones-de-coaching-cuando-compensa-y-como-elegir-el-plan-adecuado,0,9,0.0,18.67
